game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20141028ORLNOP,21400001,ORL,NOP,ORL,425,240,32,84,4,11,16,21,16,40,56,17,25,5,18,9,17,84
20141028ORLNOP,21400001,ORL,NOP,NOP,-550,240,41,101,4,17,15,31,26,36,62,20,17,10,9,17,9,101
20141028DALSAS,21400002,DAL,SAS,DAL,140,240,38,78,8,21,16,19,9,24,33,17,20,9,10,3,3,100
20141028DALSAS,21400002,DAL,SAS,SAS,-160,240,37,70,14,28,13,16,9,29,38,23,20,5,20,3,3,101
20141028HOULAL,21400003,HOU,LAL,HOU,-300,240,31,73,12,29,34,50,14,33,47,22,30,7,13,3,3,108
20141028HOULAL,21400003,HOU,LAL,LAL,250,240,28,79,3,10,31,39,11,25,36,16,32,7,11,3,3,90
20141029MILCHA,21400004,MIL,CHA,MIL,320,265,39,80,7,14,21,24,3,32,35,25,25,9,14,10,9,106
20141029MILCHA,21400004,MIL,CHA,CHA,-400,265,41,101,6,21,20,29,15,35,50,27,20,8,10,9,10,108
20141029PHIIND,21400005,PHI,IND,PHI,280,240,34,89,6,21,17,30,15,27,42,17,29,10,11,5,13,91
20141029PHIIND,21400005,PHI,IND,IND,-340,240,38,81,8,25,19,28,14,36,50,22,24,5,17,13,5,103
20141029BKNBOS,21400006,BKN,BOS,BKN,-110,240,39,80,7,19,20,26,9,30,39,20,21,6,20,7,5,105
20141029BKNBOS,21400006,BKN,BOS,BOS,-110,240,49,88,8,22,15,23,9,26,35,28,25,11,12,5,7,121
20141029WASMIA,21400007,WAS,MIA,WAS,170,240,36,75,6,19,17,24,7,29,36,20,20,7,14,2,3,95
20141029WASMIA,21400007,WAS,MIA,MIA,-200,240,39,81,9,28,20,23,12,32,44,20,17,9,14,3,2,107
20141029ATLTOR,21400008,ATL,TOR,ATL,165,240,40,80,13,22,9,17,10,32,42,26,24,6,17,8,9,102
20141029ATLTOR,21400008,ATL,TOR,TOR,-190,240,37,90,8,26,27,33,16,32,48,26,22,13,9,9,8,109
20141029MINMEM,21400009,MIN,MEM,MIN,290,240,39,86,6,12,17,23,19,28,47,20,21,8,23,4,5,101
20141029MINMEM,21400009,MIN,MEM,MEM,-350,240,43,82,4,15,15,20,10,23,33,21,21,10,17,5,4,105
20141029CHINYK,21400010,CHI,NYK,CHI,-200,240,36,71,7,24,25,30,10,37,47,21,18,9,15,4,5,104
20141029CHINYK,21400010,CHI,NYK,NYK,170,240,31,85,3,17,15,17,14,24,38,19,22,9,11,5,4,80
20141029DETDEN,21400011,DET,DEN,DET,230,240,31,84,6,26,11,19,8,37,45,15,27,4,15,5,4,79
20141029DETDEN,21400011,DET,DEN,DEN,-270,240,30,85,6,24,23,31,14,37,51,17,21,7,15,4,5,89
20141029HOUUTA,21400012,HOU,UTA,HOU,-155,240,40,77,14,27,10,14,8,27,35,18,23,7,18,6,6,104
20141029HOUUTA,21400012,HOU,UTA,UTA,135,240,38,81,3,18,14,17,13,21,34,16,16,8,13,6,6,93
20141029LALPHX,21400013,LAL,PHX,LAL,750,240,37,86,4,13,21,25,12,26,38,20,18,9,13,3,3,99
20141029LALPHX,21400013,LAL,PHX,PHX,-1100,240,45,82,16,32,13,18,9,31,40,23,25,5,14,3,3,119
20141029GSWSAC,21400014,GSW,SAC,GSW,-210,240,33,75,6,27,23,32,7,37,44,21,32,12,22,8,3,95
20141029GSWSAC,21400014,GSW,SAC,SAC,175,240,24,78,3,18,26,35,15,35,50,13,26,11,26,3,8,77
20141029OKCPOR,21400015,OKC,POR,OKC,350,240,33,81,2,16,21,26,14,29,43,19,28,9,13,5,9,89
20141029OKCPOR,21400015,OKC,POR,POR,-450,240,39,87,11,29,17,22,13,29,42,23,19,4,10,9,5,106
20141030WASORL,21400016,WAS,ORL,WAS,-200,240,39,80,7,13,20,26,6,31,37,22,25,10,12,0,1,105
