game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20131029ORLIND,21300001,ORL,IND,ORL,700,240,36,93,9,19,6,10,13,26,39,17,26,10,17,6,18,87
20131029ORLIND,21300001,ORL,IND,IND,-1000,240,34,71,7,17,22,32,10,34,44,17,13,4,20,18,6,97
20131029CHIMIA,21300002,CHI,MIA,CHI,180,240,35,83,7,26,18,23,11,30,41,23,27,11,18,4,7,95
20131029CHIMIA,21300002,CHI,MIA,MIA,-220,240,37,72,11,20,22,29,5,35,40,26,21,10,18,7,4,107
20131029LACLAL,21300003,LAC,LAL,LAC,-600,240,41,83,8,21,13,23,10,30,40,27,21,11,16,4,6,103
20131029LACLAL,21300003,LAC,LAL,LAL,450,240,42,93,14,29,18,28,18,34,52,23,23,8,19,6,4,116
20131030BKNCLE,21300004,BKN,CLE,BKN,135,240,33,82,9,24,19,24,9,28,37,24,27,8,15,8,3,94
20131030BKNCLE,21300004,BKN,CLE,CLE,-155,240,35,84,5,15,23,34,16,32,48,21,20,7,11,3,8,98
20131030MIAPHI,21300005,MIA,PHI,MIA,-700,240,42,85,16,40,10,13,7,24,31,30,25,7,19,0,1,110
20131030MIAPHI,21300005,MIA,PHI,PHI,500,240,43,80,8,21,20,24,8,32,40,24,21,16,18,1,0,114
20131030BOSTOR,21300006,BOS,TOR,BOS,310,240,32,66,3,13,20,29,7,26,33,15,27,10,22,7,6,87
20131030BOSTOR,21300006,BOS,TOR,TOR,-370,240,38,86,5,17,12,23,19,29,48,15,25,9,17,6,7,93
20131030WASDET,21300007,WAS,DET,WAS,120,240,34,78,10,25,24,32,13,25,38,23,30,5,16,3,4,102
20131030WASDET,21300007,WAS,DET,DET,-140,240,39,78,9,24,26,33,12,32,44,24,27,6,18,4,3,113
20131030MILNYK,21300008,MIL,NYK,MIL,300,240,34,74,5,16,10,12,5,26,31,19,22,10,23,4,6,83
20131030MILNYK,21300008,MIL,NYK,NYK,-360,240,36,71,3,13,15,17,6,28,34,17,16,12,22,6,4,90
20131030CHAHOU,21300009,CHA,HOU,CHA,900,240,33,90,4,10,13,20,12,25,37,14,21,8,7,6,6,83
20131030CHAHOU,21300009,CHA,HOU,HOU,-1400,240,36,76,9,25,15,24,14,40,54,17,16,4,18,6,6,96
20131030ORLMIN,21300010,ORL,MIN,ORL,500,265,47,100,10,27,11,18,14,40,54,21,29,7,18,6,3,115
20131030ORLMIN,21300010,ORL,MIN,MIN,-700,265,42,100,8,25,28,34,14,35,49,27,19,7,14,3,6,120
20131030INDNOP,21300011,IND,NOP,IND,100,240,30,70,10,23,25,30,6,31,37,19,18,5,16,12,5,95
20131030INDNOP,21300011,IND,NOP,NOP,-120,240,34,85,5,11,17,21,15,28,43,17,29,7,15,5,12,90
20131030ATLDAL,21300012,ATL,DAL,ATL,200,240,37,76,8,24,27,35,5,28,33,27,20,16,17,5,2,109
20131030ATLDAL,21300012,ATL,DAL,DAL,-240,240,44,77,11,24,19,24,7,35,42,31,22,7,20,2,5,118
20131030MEMSAS,21300013,MEM,SAS,MEM,210,240,39,93,8,15,8,15,11,33,44,24,15,6,14,3,6,94
20131030MEMSAS,21300013,MEM,SAS,SAS,-250,240,40,76,11,20,10,16,4,36,40,25,18,3,15,6,3,101
20131030OKCUTA,21300014,OKC,UTA,OKC,230,240,33,81,6,19,29,33,10,35,45,9,24,15,13,4,5,101
20131030OKCUTA,21300014,OKC,UTA,UTA,-270,240,36,79,6,22,20,30,10,34,44,25,28,6,22,5,4,98
20131030PORPHX,21300015,POR,PHX,POR,-220,240,33,81,8,26,17,24,11,28,39,19,14,5,13,5,5,91
20131030PORPHX,21300015,POR,PHX,PHX,180,240,43,83,4,19,14,18,11,36,47,18,17,8,15,5,5,104
20131030DENSAC,21300016,DEN,SAC,DEN,120,240,34,79,5,15,15,17,8,33,41,19,21,3,18,11,7,88
20131030DENSAC,21300016,DEN,SAC,SAC,-140,240,33,81,8,21,16,23,11,30,41,13,26,8,14,7,11,90
20131030LALGSW,21300017,LAL,GSW,LAL,700,240,35,89,8,18,16,21,9,30,39,19,22,5,16,4,9,94
20131030LALGSW,21300017,LAL,GSW,GSW,-1000,240,46,86,15,27,18,23,7,41,48,34,22,8,15,9,4,125
20131031NYKCHI,21300018,NYK,CHI,NYK,300,240,31,86,9,24,10,14,13,29,42,20,24,12,15,8,3,81
20131031NYKCHI,21300018,NYK,CHI,CHI,-360,240,31,76,3,16,17,19,13,35,48,20,16,5,18,3,8,82
20131031GSWLAC,21300019,GSW,LAC,GSW,210,240,40,76,12,21,23,33,10,23,33,26,35,7,24,2,4,115
20131031GSWLAC,21300019,GSW,LAC,LAC,-250,240,42,85,9,28,33,50,16,28,44,27,30,15,18,4,2,126
20131101CLECHA,21300020,CLE,CHA,CLE,-165,240,32,84,4,18,16,22,11,31,42,14,29,9,17,1,8,84
20131101CLECHA,21300020,CLE,CHA,CHA,145,240,33,73,3,12,21,34,5,32,37,21,20,7,15,8,1,90
20131101NOPORL,21300021,NOP,ORL,NOP,155,60,32,92,6,12,20,26,17,27,44,16,21,7,12,5,7,90
20131101NOPORL,21300021,NOP,ORL,ORL,-175,60,39,70,11,22,21,27,5,39,44,22,19,11,18,7,5,110
20131101PHIWAS,21300022,PHI,WAS,PHI,425,240,48,94,6,23,7,14,9,37,46,26,17,8,19,6,6,109
20131101PHIWAS,21300022,PHI,WAS,WAS,-550,240,41,94,9,26,11,17,15,31,46,23,16,14,17,6,6,102
20131101TORATL,21300023,TOR,ATL,TOR,140,240,40,88,7,23,8,14,10,32,42,15,25,5,12,6,3,95
20131101TORATL,21300023,TOR,ATL,ATL,-160,240,36,77,10,23,20,31,7,30,37,24,12,7,13,3,6,102
20131101MILBOS,21300024,MIL,BOS,MIL,110,240,35,84,6,15,29,34,17,24,41,18,24,10,7,7,7,105
20131101MILBOS,21300024,MIL,BOS,BOS,-130,240,34,76,4,16,26,38,18,34,52,13,29,5,17,7,7,98
20131101DALHOU,21300025,DAL,HOU,DAL,230,240,38,100,9,27,20,25,16,27,43,20,37,9,14,7,4,105
20131101DALHOU,21300025,DAL,HOU,HOU,-270,240,34,73,11,29,34,51,13,38,51,17,20,11,22,4,7,113
20131101DETMEM,21300026,DET,MEM,DET,280,265,42,89,7,21,17,24,15,26,41,21,26,10,19,6,4,108
20131101DETMEM,21300026,DET,MEM,MEM,-340,265,40,77,6,18,25,30,6,32,38,25,21,13,20,4,6,111
20131101OKCMIN,21300027,OKC,MIN,OKC,110,240,29,83,7,31,16,19,14,28,42,16,28,5,21,6,2,81
20131101OKCMIN,21300027,OKC,MIN,MIN,-130,240,33,77,8,20,26,33,9,35,44,21,21,14,15,2,6,100
20131101MIABKN,21300028,MIA,BKN,MIA,-170,240,32,67,7,14,29,36,4,26,30,24,29,10,15,2,5,100
20131101MIABKN,21300028,MIA,BKN,BKN,150,240,33,68,8,16,27,39,7,33,40,21,29,5,18,5,2,101
20131101PORDEN,21300029,POR,DEN,POR,165,240,44,103,14,22,11,15,16,39,55,25,25,3,7,5,5,113
20131101PORDEN,21300029,POR,DEN,DEN,-190,240,36,99,6,18,20,34,20,35,55,14,19,6,4,5,5,98
20131101UTAPHX,21300030,UTA,PHX,UTA,135,240,31,85,5,17,17,27,22,31,53,20,20,3,20,1,10,84
20131101UTAPHX,21300030,UTA,PHX,PHX,-155,240,31,83,6,22,19,24,16,30,46,15,24,10,16,10,1,87
20131101LACSAC,21300031,LAC,SAC,LAC,-165,240,35,70,12,24,28,34,10,29,39,26,29,4,15,5,5,110
20131101LACSAC,21300031,LAC,SAC,SAC,145,240,36,79,6,17,23,32,10,25,35,21,27,7,9,5,5,101
20131101SASLAL,21300032,SAS,LAL,SAS,-350,240,38,94,5,21,10,14,12,38,50,20,18,7,12,0,7,91
20131101SASLAL,21300032,SAS,LAL,LAL,290,240,30,82,8,27,17,24,8,38,46,22,19,4,12,7,0,85
20131102CLEIND,21300033,CLE,IND,CLE,350,240,29,83,3,15,13,15,6,31,37,11,25,15,16,1,6,74
20131102CLEIND,21300033,CLE,IND,IND,-450,240,32,77,10,28,15,20,10,41,51,24,16,6,20,6,1,89
20131102CHIPHI,21300034,CHI,PHI,CHI,-500,240,42,93,3,14,17,19,17,34,51,28,14,8,18,5,6,104
20131102CHIPHI,21300034,CHI,PHI,PHI,400,240,42,86,11,22,12,18,10,29,39,24,18,8,15,6,5,107
20131102CHANOP,21300035,CHA,NOP,CHA,330,240,30,80,3,21,21,36,14,27,41,13,22,8,13,4,18,84
20131102CHANOP,21300035,CHA,NOP,NOP,-400,240,37,75,7,13,24,28,8,35,43,30,26,10,17,18,4,105
20131102MEMDAL,21300036,MEM,DAL,MEM,130,240,37,87,3,16,22,26,17,34,51,20,34,6,17,2,4,99
20131102MEMDAL,21300036,MEM,DAL,DAL,-150,240,32,80,7,19,40,46,14,31,45,18,20,12,11,4,2,111
20131102TORMIL,21300037,TOR,MIL,TOR,-120,240,31,78,7,23,28,38,18,42,60,19,22,6,17,0,5,97
20131102TORMIL,21300037,TOR,MIL,MIL,100,240,37,84,6,17,10,18,6,32,38,25,26,7,13,5,0,90
20131102HOUUTA,21300038,HOU,UTA,HOU,-260,240,34,67,9,22,27,35,9,31,40,16,23,6,18,7,6,104
20131102HOUUTA,21300038,HOU,UTA,UTA,220,240,34,81,4,22,21,27,15,24,39,12,25,9,15,6,7,93
20131102SASPOR,21300039,SAS,POR,SAS,-140,240,47,94,6,12,5,8,12,23,35,24,25,6,12,2,7,105
20131102SASPOR,21300039,SAS,POR,POR,120,240,45,81,8,20,17,19,7,32,39,29,15,3,16,7,2,115
20131102SACGSW,21300040,SAC,GSW,SAC,550,240,30,87,6,26,21,24,16,32,48,16,18,9,14,1,7,87
20131102SACGSW,21300040,SAC,GSW,GSW,-750,240,39,76,11,27,9,12,5,39,44,28,22,8,18,7,1,98
20131103BOSDET,21300041,BOS,DET,BOS,400,240,31,74,3,16,12,12,8,29,37,15,22,15,23,3,7,77
20131103BOSDET,21300041,BOS,DET,DET,-500,240,34,76,2,13,17,29,15,29,44,16,15,15,21,7,3,87
20131103WASMIA,21300042,WAS,MIA,WAS,1100,240,35,82,12,30,11,16,17,24,41,22,26,8,20,2,6,93
20131103WASMIA,21300042,WAS,MIA,MIA,-2000,240,37,70,11,27,18,27,8,24,32,32,18,9,16,6,2,103
20131103BKNORL,21300043,BKN,ORL,BKN,190,240,34,89,4,17,14,15,11,31,42,23,23,5,12,8,4,86
20131103BKNORL,21300043,BKN,ORL,ORL,-230,240,42,89,7,17,16,22,13,41,54,19,19,7,15,4,8,107
20131103PHXOKC,21300044,PHX,OKC,PHX,900,240,32,80,14,37,18,22,12,31,43,21,23,11,23,3,4,96
20131103PHXOKC,21300044,PHX,OKC,OKC,-1600,240,35,82,2,18,31,37,10,31,41,20,22,8,15,4,3,103
20131103MINNYK,21300045,MIN,NYK,MIN,140,240,35,79,10,27,29,38,10,33,43,23,16,9,12,1,3,109
20131103MINNYK,21300045,MIN,NYK,NYK,-160,240,40,89,9,32,11,13,14,35,49,21,26,7,16,3,1,100
20131103ATLLAL,21300046,ATL,LAL,ATL,-110,240,40,90,9,22,14,26,10,42,52,26,22,9,11,3,7,103
20131103ATLLAL,21300046,ATL,LAL,LAL,-110,240,38,89,9,25,20,24,6,47,53,27,24,5,13,7,3,105
20131104MINCLE,21300047,MIN,CLE,MIN,100,240,34,94,5,28,19,24,12,31,43,21,15,16,17,5,12,92
20131104MINCLE,21300047,MIN,CLE,CLE,-120,240,39,85,5,16,10,11,11,38,49,22,24,10,23,12,5,93
20131104GSWPHI,21300048,GSW,PHI,GSW,-280,240,41,92,15,38,13,20,13,41,54,28,24,18,22,7,3,110
20131104GSWPHI,21300048,GSW,PHI,PHI,240,240,31,88,5,25,23,37,14,38,52,19,18,9,24,3,7,90
20131104BOSMEM,21300049,BOS,MEM,BOS,680,240,33,70,7,20,15,18,4,28,32,14,21,9,17,6,2,88
20131104BOSMEM,21300049,BOS,MEM,MEM,-890,240,36,74,5,15,18,22,9,27,36,23,19,6,18,2,6,95
20131104HOULAC,21300050,HOU,LAC,HOU,170,240,41,82,7,25,29,43,13,33,46,21,22,7,15,3,7,118
20131104HOULAC,21300050,HOU,LAC,LAC,-200,240,49,94,15,38,24,28,9,29,38,33,29,7,10,7,3,137
20131105MIATOR,21300051,MIA,TOR,MIA,-215,240,41,83,10,23,12,14,10,28,38,31,27,7,11,4,1,104
20131105MIATOR,21300051,MIA,TOR,TOR,185,240,31,72,6,21,27,33,13,27,40,15,21,4,15,1,4,95
20131105UTABKN,21300052,UTA,BKN,UTA,475,240,31,82,4,18,22,30,19,28,47,17,24,6,20,3,3,88
20131105UTABKN,21300052,UTA,BKN,BKN,-650,240,40,78,4,11,20,32,11,28,39,23,27,11,15,3,3,104
20131105INDDET,21300053,IND,DET,IND,-105,240,38,73,9,21,14,23,4,41,45,26,21,6,18,9,6,99
20131105INDDET,21300053,IND,DET,DET,-115,240,33,87,5,25,20,25,13,29,42,13,24,10,14,6,9,91
20131105CHANYK,21300054,CHA,NYK,CHA,425,240,30,71,8,21,34,42,16,35,51,17,25,9,22,5,4,102
20131105CHANYK,21300054,CHA,NYK,NYK,-550,240,35,82,8,28,19,23,11,22,33,12,27,11,14,4,5,97
20131105PHXNOP,21300055,PHX,NOP,PHX,400,240,39,78,12,25,14,22,7,34,41,25,20,10,15,4,11,104
20131105PHXNOP,21300055,PHX,NOP,NOP,-500,240,37,85,10,18,14,19,8,32,40,26,20,12,13,11,4,98
20131105LALDAL,21300056,LAL,DAL,LAL,350,240,39,88,12,31,14,20,9,26,35,21,12,9,14,4,3,104
20131105LALDAL,21300056,LAL,DAL,DAL,-450,240,49,94,13,27,12,14,10,40,50,34,14,10,12,3,4,123
20131105SASDEN,21300057,SAS,DEN,SAS,-200,240,40,86,4,16,18,20,8,31,39,27,22,14,16,9,4,102
20131105SASDEN,21300057,SAS,DEN,DEN,170,240,35,83,9,19,15,20,10,35,45,22,23,4,22,4,9,94
20131105HOUPOR,21300058,HOU,POR,HOU,110,240,41,75,6,22,28,34,10,37,47,17,27,6,20,3,6,116
20131105HOUPOR,21300058,HOU,POR,POR,-130,240,36,87,10,31,19,29,11,19,30,22,28,9,14,6,3,101
20131105ATLSAC,21300059,ATL,SAC,ATL,115,240,39,81,8,22,19,26,9,27,36,26,15,11,14,7,4,105
20131105ATLSAC,21300059,ATL,SAC,SAC,-135,240,35,80,10,31,20,21,10,29,39,22,26,10,18,4,7,100
20131106TORCHA,21300060,TOR,CHA,TOR,-140,240,35,79,7,16,13,15,11,27,38,18,27,2,12,3,8,90
20131106TORCHA,21300060,TOR,CHA,CHA,120,240,36,73,3,15,17,30,10,27,37,24,19,5,8,8,3,92
20131106CHIIND,21300061,CHI,IND,CHI,110,240,26,73,5,15,23,27,11,29,40,15,20,4,17,5,7,80
20131106CHIIND,21300061,CHI,IND,IND,-130,240,36,86,7,18,18,21,17,35,52,21,24,9,14,7,5,97
20131106LACORL,21300062,LAC,ORL,LAC,-300,240,36,95,3,19,15,21,15,36,51,20,19,9,13,5,4,90
20131106LACORL,21300062,LAC,ORL,ORL,250,240,40,82,5,16,13,17,7,44,51,21,17,7,15,4,5,98
